item_id,index,value,word1,word2,pos,simlex,concwordone,concwordtwo,concq,assocusf,stim,simasoc,time,subject,list,lancmotorsim,lancsensorysim,lancsensorymotorsim,glovesim,attentioncheck,attention_accuracy
746,7,5,dentist,colonel,N,0.4,4.93,3.89,3,0,dentist,0,1708975669193,t2k8l8ho,List 8,0.123,0.098,0.108,0.838,0,-1
765,5,2,people,gun,N,0.68,4.82,4.83,4,0,people,0,1708975680859,t2k8l8ho,List 8,0.188,0.034,0.107,0.786,0,-1
782,5,5,occur,happen,V,9.32,1.84,1.78,1,2.87,occur,1,1708975600433,t2k8l8ho,List 8,0.115,0.071,0.113,0.406,0,-1
786,1,4,begin,originate,V,8.2,2.56,2.23,1,2.44,begin,1,1708975665481,t2k8l8ho,List 8,0.085,0.023,0.123,0.919,0,-1
797,2,1,achieve,accomplish,V,8.57,2.29,2.33,1,1.22,achieve,1,1708975632289,t2k8l8ho,List 8,0.028,0.079,0.051,0.324,0,-1
834,2,6,arrive,come,V,7.05,3.22,2.72,2,0.48,arrive,1,1708975644666,t2k8l8ho,List 8,0.013,0.023,0.053,0.477,0,-1
838,0,5,add,divide,V,2.3,3,2.86,2,0.41,add,0,1708975670680,t2k8l8ho,List 8,0.02,0.135,0.066,0.714,0,-1
840,0,5,acquire,get,V,8.82,2.93,2.38,2,0.39,acquire,0,1708975596174,t2k8l8ho,List 8,0.009,0.03,0.02,0.714,0,-1
852,4,1,analyze,evaluate,V,8.03,2.3,1.85,1,0.28,analyze,0,1708975607653,t2k8l8ho,List 8,0.037,0.069,0.07,0.244,0,-1
874,7,5,pretend,imagine,V,8.47,2.11,1.53,1,0.21,pretend,0,1708975624104,t2k8l8ho,List 8,0.09,0.145,0.127,0.476,0,-1
878,1,4,overcome,dominate,V,6.25,2.28,2.12,1,0.21,overcome,0,1708975651394,t2k8l8ho,List 8,0.022,0.048,0.032,0.774,0,-1
879,2,5,behave,obey,V,7.3,1.78,2.67,1,0.21,behave,0,1708975638603,t2k8l8ho,List 8,0.013,0.042,0.03,0.64,0,-1
884,2,6,say,participate,V,3.82,2.58,2.59,1,0.21,say,0,1708975651943,t2k8l8ho,List 8,0.259,0.203,0.248,0.677,0,-1
885,2,6,come,bring,V,2.42,2.72,2.55,2,0.21,come,0,1708975613115,t2k8l8ho,List 8,0.049,0.116,0.089,0.284,0,-1
901,3,5,make,become,V,4.77,2.67,1.54,1,0.17,make,0,1708975632985,t2k8l8ho,List 8,0.238,0.158,0.195,0.433,0,-1
902,0,2,discover,originate,V,4.83,2.37,2.23,1,0.17,discover,0,1708975625394,t2k8l8ho,List 8,0.038,0.124,0.139,0.92,0,-1
907,4,4,borrow,sell,V,1.73,3.1,3.35,2,0.17,borrow,0,1708975667405,t2k8l8ho,List 8,0.066,0.068,0.075,0.491,0,-1
911,6,2,agree,please,V,4.13,2.31,1.64,1,0.14,agree,0,1708975609486,t2k8l8ho,List 8,0.014,0.012,0.014,0.713,0,-1
926,7,6,investigate,examine,V,8.1,2.27,2.86,1,0.14,investigate,0,1708975635782,t2k8l8ho,List 8,0.028,0.039,0.037,0.318,0,-1
928,2,6,owe,lend,V,2.32,2.07,3.07,1,0.14,owe,0,1708975606002,t2k8l8ho,List 8,0.079,0.2,0.138,0.643,0,-1
935,4,5,reduce,shrink,V,8.02,2,3.55,2,0.14,reduce,0,1708975627835,t2k8l8ho,List 8,0.112,0.04,0.073,0.587,0,-1
946,1,2,contemplate,think,V,8.82,1.71,2.41,1,0.11,contemplate,0,1708975672264,t2k8l8ho,List 8,0.028,0.035,0.042,0.743,0,-1
956,3,2,leave,ignore,V,4.42,2.53,2.22,1,0.11,leave,0,1708975666565,t2k8l8ho,List 8,0.344,0.031,0.222,0.609,0,-1
970,3,4,join,add,V,8.1,2.86,3,2,0.11,join,0,1708975621281,t2k8l8ho,List 8,0.061,0.029,0.051,0.807,0,-1
2034,4,1,please,please,C,4.13,2.31,1.64,1,0.14,please/please,0,1708975614436,t2k8l8ho,List 8,0.013,0.023,0.053,0.477,1,0
2187,4,6,weird,weird,C,9.2,1.59,1.7,1,0.75,weird/weird,1,1708975646573,t2k8l8ho,List 8,0.013,0.023,0.053,0.477,1,1
2975,5,6,jacket,jacket,C,5.15,4.76,4.86,4,0.13,jacket/jacket,0,1708975640756,t2k8l8ho,List 8,0.013,0.023,0.053,0.477,1,1
4653,1,3,force,check,C,1000,0,0,0,0,3,0,1708975657228,t2k8l8ho,List 8,0,0,0,0,2,1
5928,4,2,force,check,C,1000,0,0,0,0,2,0,1708975674084,t2k8l8ho,List 8,0,0,0,0,2,1
